ID,Display,F_C_T,F_D_T,S_C_T,S_D_T,Target
083,Monitor,63,78,94,88,T
083,Laptop,91,89,88,89,T
084,Monitor,88,87,88,80,T
084,Laptop,76,87,102,89,T
085,Monitor,69,79,91,95,T
085,Laptop,98,87,88,80,T
086,Monitor,79,85,81,72,T
086,Laptop,72,73,88,90,T
087,Monitor,80,79,49,58,T
087,Laptop,81,80,102,95,T
088,Monitor,48,86,33,62,T
088,Laptop,73,82,81,91,T
089,Monitor,68,71,79,84,T
089,Laptop,98,68,80,87,T
090,Monitor,76,79,79,76,T
090,Laptop,89,106,82,89,T
091,Monitor,68,70,71,75,T
091,Laptop,90,89,100,87,T
092,Monitor,67,77,96,79,T
092,Laptop,94,81,86,73,T
093,Monitor,82,78,76,76,T
093,Laptop,98,93,85,68,T
094,Monitor,89,88,84,79,T
094,Laptop,90,87,84,99,T
095,Monitor,94,77,102,69,T
095,Laptop,98,85,81,89,T
096,Monitor,65,70,70,72,T
096,Laptop,92,76,89,90,T
097,Monitor,89,91,66,69,T
097,Laptop,92,86,94,104,T
098,Monitor,84,69,78,84,T
098,Laptop,90,89,93,83,T
099,Monitor,68,84,76,86,T
099,Laptop,85,97,96,93,T
100,Monitor,76,83,71,70,T
100,Laptop,84,88,87,92,T
101,Monitor,95,52,87,84,T
101,Laptop,85,94,95,97,T
102,Monitor,88,84,74,63,T
102,Laptop,89,99,96,94,T
103,Monitor,71,75,78,95,T
103,Laptop,88,91,88,99,T
104,Monitor,90,79,81,78,T
104,Laptop,81,87,99,79,T
105,Monitor,66,68,77,84,T
105,Laptop,100,66,81,94,T
106,Monitor,77,77,87,72,T
106,Laptop,94,93,101,97,T
107,Monitor,78,84,75,69,T
107,Laptop,91,83,91,97,T
108,Monitor,71,80,77,73,T
108,Laptop,91,79,102,86,T
109,Monitor,95,81,82,78,T
109,Laptop,86,80,68,102,T
110,Monitor,78,86,80,85,T
110,Laptop,96,85,80,99,T
111,Monitor,84,93,78,86,T
111,Laptop,98,90,92,78,T
112,Monitor,95,85,87,79,T
112,Laptop,86,102,71,80,T
113,Monitor,75,80,72,77,T
113,Laptop,88,96,86,88,T
114,Monitor,88,85,84,87,T
114,Laptop,93,86,69,90,T
115,Monitor,74,84,83,92,T
115,Laptop,87,97,74,98,T
116,Monitor,95,76,72,82,T
116,Laptop,88,96,80,67,T
117,Monitor,84,67,78,74,T
117,Laptop,86,82,100,87,T
118,Monitor,91,68,80,85,T
118,Laptop,104,79,85,93,T
119,Monitor,87,94,81,85,T
119,Laptop,83,95,90,81,T
120,Monitor,78,82,82,77,T
120,Laptop,93,83,82,94,T
121,Monitor,90,78,68,76,T
121,Laptop,88,87,84,84,T
122,Monitor,78,73,75,79,T
122,Laptop,75,89,90,93,T
123,Monitor,84,90,83,86,T
123,Laptop,89,93,90,92,T
124,Monitor,87,70,76,81,T
124,Laptop,91,88,95,85,T
125,Monitor,89,86,81,74,T
125,Laptop,84,98,100,94,T
126,Monitor,79,73,68,91,T
126,Laptop,99,83,85,94,T
127,Monitor,68,71,56,66,T
127,Laptop,72,59,68,60,T
128,Monitor,85,83,75,82,T
128,Laptop,79,79,93,99,T
129,Monitor,79,84,84,78,T
129,Laptop,89,96,86,84,T
130,Monitor,108,84,74,90,T
130,Laptop,87,80,94,88,T
131,Monitor,71,71,78,82,T
131,Laptop,84,82,93,69,T
132,Monitor,68,89,68,89,T
132,Laptop,81,97,84,95,T
133,Monitor,77,98,92,76,T
133,Laptop,103,92,82,101,T
134,Monitor,69,87,84,77,T
134,Laptop,93,88,99,103,T
135,Monitor,74,68,79,78,T
135,Laptop,78,102,85,90,T
136,Monitor,76,87,83,81,T
136,Laptop,89,89,81,100,T
137,Monitor,64,69,70,99,T
137,Laptop,89,90,85,90,T
138,Monitor,69,89,76,70,T
138,Laptop,92,75,76,62,T
139,Monitor,75,82,75,92,T
139,Laptop,95,85,87,89,T
140,Monitor,85,82,72,72,T
140,Laptop,82,83,83,87,T
141,Monitor,82,69,86,56,T
141,Laptop,89,90,80,85,T
142,Monitor,60,84,74,82,T
142,Laptop,74,0,85,0,T
143,Monitor,89,80,80,84,T
143,Laptop,98,91,83,93,T
144,Monitor,74,78,77,83,T
144,Laptop,98,78,94,80,T
145,Monitor,84,84,79,75,T
145,Laptop,95,86,87,85,T
146,Monitor,82,78,75,84,T
146,Laptop,88,84,90,89,T
147,Monitor,76,77,74,75,T
147,Laptop,88,98,90,88,T
148,Monitor,107,85,98,103,T
148,Laptop,93,113,126,114,T
